Date,Medication,Sales,Region,Temperature,Humidity,Flu_Cases,Pollen_Count,Google_Trends,Marketing_Spend,Holiday,Month,Season
2023-01-01,Cold Relief,2084,Toronto,-3.5,59.3,312.0,6.0,95.8,3230.23,Holiday,January,Winter
2023-01-01,Cold Relief,1372,Vancouver,6.6,57.7,290.0,9.0,75.3,2696.15,Holiday,January,Winter
2023-01-01,Cold Relief,1611,Montreal,-26.16596391826693,52.9,298.0,7.0,74.6,3033.28,Holiday,January,Winter
2023-01-01,Cold Relief,1671,Calgary,-13.9,57.0,309.0,6.0,77.1,3246.76,Holiday,January,Winter
2023-01-01,Allergy Relief,351,Toronto,-4.4,50.2,302.0,5.0,48.8,909.67,Holiday,January,Winter
2023-01-01,Allergy Relief,485,Vancouver,2.8,57.7,288.0,6.0,60.6,796.92,Holiday,January,Winter
2023-01-01,Allergy Relief,427,Montreal,-6.9,64.7,315.0,9.0,53.3,1292.66,Holiday,January,Winter
2023-01-01,Allergy Relief,356,Calgary,-15.6,54.5,312.0,15.0,38.0,1108.49,Holiday,January,Winter
2023-01-01,Pain Relief,908,Toronto,-3.9,67.7,315.0,10.0,70.9,2410.3,Holiday,January,Winter
2023-01-01,Pain Relief,863,Vancouver,-1.0,58.9,295.0,7.0,73.6,2257.45,Holiday,January,Winter
2023-01-01,Pain Relief,808,Montreal,-7.3,61.6,317.0,15.0,63.0,2401.7,Holiday,January,Winter
2023-01-01,Pain Relief,953,Calgary,-19.4,56.691747195412496,296.0,6.0,72.6,2451.61,Holiday,January,Winter
2023-01-01,Cough Suppressant,4281,Toronto,0.7,60.9,293.0,18.0,55.8,992.05,Holiday,January,Winter
2023-01-01,Cough Suppressant,1129,Vancouver,12.4,59.0,279.0,7.0,78.0,1420.84,Holiday,January,Winter
2023-01-01,Cough Suppressant,1375,Montreal,-8.2,71.0,272.0,8.0,76.0,848.96,Holiday,January,Winter
2023-01-01,Cough Suppressant,1657,Calgary,-14.8,54.7,310.0,16.0,79.7,765.02,Holiday,January,Winter
2023-01-01,Fever Reducer,1108,Toronto,-2.6,53.8,318.0,10.0,67.6,1234.55,Holiday,January,Winter
2023-01-01,Fever Reducer,868,Vancouver,1.0,62.6,324.0,11.0,68.0,1087.92,Holiday,January,Winter
2023-01-01,Fever Reducer,1417,Montreal,-4.4,62.4,308.0,12.0,76.6,753.8,Holiday,January,Winter
2023-01-01,Fever Reducer,1405,Calgary,1.4052458780921633,64.1,273.0,8.0,84.0,976.87,Holiday,January,Winter
2023-01-02,Cold Relief,1469,Toronto,-4.2,64.1,316.0,11.0,86.3,1716.872493029701,Not a Holiday,January,Winter
2023-01-02,Cold Relief,1341,Vancouver,6.4,58.9,296.0,8.0,87.1,2866.05,Not a Holiday,January,Winter
2023-01-02,Cold Relief,1644,Montreal,-9.4,59.79128357873987,334.0,11.0,80.6,2657.11,Not a Holiday,January,Winter
2023-01-02,Cold Relief,1919,Calgary,-13.3,65.4,293.0,10.0,90.5,3171.27,Not a Holiday,January,Winter
2023-01-02,Allergy Relief,414,Toronto,-2.1,63.3,325.0,9.0,45.1,1024.56,Not a Holiday,January,Winter
2023-01-02,Allergy Relief,267,Vancouver,-0.6,63.4,247.0,13.0,33.9,1019.28,Not a Holiday,January,Winter
2023-01-02,Allergy Relief,265,Montreal,-12.1,63.4,306.0,10.0,29.7,1055.94,Not a Holiday,January,Winter
2023-01-02,Allergy Relief,322,Calgary,-12.4,56.0,319.0,9.0,48.9,857.52,Not a Holiday,January,Winter
2023-01-02,Pain Relief,677,Toronto,0.3,62.0,308.0,17.0,91.2,1309.74,Not a Holiday,January,Winter
2023-01-02,Pain Relief,532,Vancouver,3.5,66.3,259.0,10.0,62.9,500.0,Not a Holiday,January,Winter
2023-01-02,Pain Relief,793,Montreal,-10.8,53.8,295.0,11.0,84.4,569.24,Not a Holiday,January,Winter
2023-01-02,Pain Relief,627,Calgary,-15.0,55.1,347.3747117462133,16.0,74.6,1475.81,Not a Holiday,January,Winter
2023-01-02,Cough Suppressant,1410,Toronto,1.4,50.2,336.0,7.0,77.8,813.19,Not a Holiday,January,Winter
2023-01-02,Cough Suppressant,1582,Vancouver,3.5,57.1,276.0,8.0,83.5,1603.4785063027894,Not a Holiday,January,Winter
2023-01-02,Cough Suppressant,1708,Montreal,-10.1,90.99431756134004,293.0,14.0,83.3,1244.05,Not a Holiday,January,Winter
2023-01-02,Cough Suppressant,1348,Calgary,-14.9,63.4,294.0,15.0,71.9,1097.25,Not a Holiday,January,Winter
2023-01-02,Fever Reducer,1195,Toronto,-4.7,63.0,307.0,8.0,76.6,1237.5,Not a Holiday,January,Winter
2023-01-02,Fever Reducer,628,Vancouver,6.9,59.9,264.0,9.0,56.0,752.35,Not a Holiday,January,Winter
2023-01-02,Fever Reducer,2494,Montreal,-8.8,57.2,306.0,5.0,60.3,1069.61,Not a Holiday,January,Winter
