Date,Medication,Sales,Region,Temperature,Humidity,Flu_Cases,Pollen_Count,Google_Trends,Marketing_Spend,Holiday
2023-01-01,Cold Relief,2084.0,Toronto,-3.5,59.3,312.0,6.0,95.8,3230.23,New Year's Day
2023-01-01,Cold Relief,1372.0,Vancouver,6.6,57.7,290.0,9.0,75.3,2696.15,New Year's Day
2023-01-01,Cold Relief,1611.0,Montreal,-26.165963918266932,52.9,298.0,7.0,74.6,3033.28,New Year's Day
2023-01-01,Cold Relief,1671.0,Calgary,-13.9,57.0,309.0,6.0,77.1,3246.76,New Year's Day
2023-01-01,Allergy Relief,351.0,Toronto,-4.4,50.2,302.0,5.0,48.8,909.67,New Year's Day
2023-01-01,Allergy Relief,485.0,Vancouver,2.8,57.7,288.0,6.0,60.6,796.92,New Year's Day
2023-01-01,Allergy Relief,427.0,Montreal,-6.9,64.7,315.0,9.0,53.3,1292.66,New Year's Day
2023-01-01,Allergy Relief,356.0,Calgary,-15.6,54.5,312.0,15.0,38.0,1108.49,New Year's Day
2023-01-01,Pain Relief,908.0,Toronto,-3.9,67.7,315.0,10.0,70.9,2410.3,New Year's Day
2023-01-01,Pain Relief,863.0,Vancouver,-1.0,58.9,295.0,7.0,73.6,2257.45,New Year's Day
2023-01-01,Pain Relief,808.0,Montreal,-7.3,61.6,317.0,15.0,63.0,2401.7,New Year's Day
2023-01-01,Pain Relief,953.0,Calgary,-19.4,,296.0,6.0,72.6,2451.61,New Year's Day
2023-01-01,Cough Suppressant,4281.047896496162,Toronto,0.7,60.9,293.0,18.0,55.8,992.05,New Year's Day
2023-01-01,Cough Suppressant,1129.0,Vancouver,12.4,59.0,279.0,7.0,78.0,1420.84,New Year's Day
2023-01-01,Cough Suppressant,1375.0,Montreal,-8.2,71.0,272.0,8.0,76.0,848.96,New Year's Day
2023-01-01,Cough Suppressant,1657.0,Calgary,-14.8,54.7,310.0,16.0,79.7,765.02,New Year's Day
